Entity,Code,Date,Cases,Numberofdayssincethe100thconfirmedcase,Lifeexpectancy2016,MedianAge2017inyears,Urbanlandareasqkm2010,GDPpercapita2011in$,peoplelivinginurbanareasofmorethan1million2017,percentofpoplivinginurbanareasover1million2017
Afghanistan,AFG,31-Dec-19,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,1-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,2-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,3-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,4-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,5-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,6-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,7-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,8-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,9-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,10-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,11-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,12-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,13-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,14-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,15-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,16-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,17-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,18-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,19-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,20-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,21-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,22-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,23-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,24-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,25-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,26-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,27-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,28-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,29-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,30-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,31-Jan-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,1-Feb-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,2-Feb-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,3-Feb-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,4-Feb-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,5-Feb-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,6-Feb-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,7-Feb-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,8-Feb-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,9-Feb-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,10-Feb-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,11-Feb-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,12-Feb-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,13-Feb-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,14-Feb-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,15-Feb-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
Afghanistan,AFG,16-Feb-20,0.0,,63.673,17.299999,,1929,3913297,11.0140390617179
